Year,CountryCode,Population,GDP,GDPpC
1992,AHO,NA,NA,NA
1992,ASA,0.048685,NA,NA
1992,COK,0.018622,NA,NA
1992,EUN,NA,NA,NA
1992,GUM,0.133558,NA,NA
1992,IOA,NA,NA,NA
1992,ISV,0.104807,NA,NA
1992,SMR,0.02446,NA,NA
1996,AFG,18.11,NA,NA
1996,AHO,NA,NA,NA
1996,ASA,0.053161,NA,NA
1996,COK,0.019097,NA,NA
1996,GUM,0.145561,NA,NA
1996,ISV,0.107818,NA,NA
1996,NRU,0.010628,NA,NA
1996,SCG,11.101833,NA,NA
1996,SMR,0.025928,NA,NA
1996,SOL,0.359281,NA,NA
1996,SOM,7.492,NA,NA
2000,AHO,NA,NA,NA
2000,ASA,0.057053,NA,NA
2000,COK,0.018041,NA,NA
2000,FSM,NA,NA,NA
2000,GUM,0.153953,NA,NA
2000,IOA,NA,NA,NA
2000,NRU,0.010449,NA,NA
2000,PLW,0.018776,NA,NA
2000,SCG,NA,NA,NA
2000,SOM,8.554,NA,NA
2004,AHO,NA,NA,NA
2004,COK,0.018608,NA,NA
2004,FSM,NA,NA,NA
2004,ISV,0.108506,NA,NA
2004,NRU,0.009994,NA,NA
2004,SCG,NA,NA,NA
2004,SOM,9.815,NA,NA
2008,AHO,NA,NA,NA
2008,COK,0.019001,NA,NA
2008,FSM,NA,NA,NA
2008,SOM,11.08,NA,NA
2012,COK,0.018195,NA,NA
2012,FSM,NA,NA,NA
2012,IOA,NA,NA,NA
2012,SOL,0.541521,NA,NA
2012,SOM,12.38,NA,NA
2016,COK,0.017586,NA,NA
2016,FSM,NA,NA,NA
2016,IOA,NA,NA,NA
2016,ROT,NA,NA,NA
2016,SOM,NA,NA,NA
2016,SSD,NA,NA,NA
2020,AHO,NA,NA,NA
2020,ASA,NA,NA,NA
2020,COK,NA,NA,NA
2020,GUM,NA,NA,NA
2020,ISV,NA,NA,NA
2020,LIB,NA,NA,NA
2020,SCG,NA,NA,NA
2020,SWZ,NA,NA,NA
