Year,HostCity,HostCountry,HostCountryCode ,Held,Awarded-Gold,Awarded-Silver,Awarded-Bronze,Awarded-Total,pre-host-country2,pre-host-country,post-host-country,post-host-country2
1896,Athens,Greece,GRE,Y,NA,NA,NA,NA,NA,NA,FRA,USA
1900,Paris,France,FRA,Y,NA,NA,NA,NA,NA,GRE,USA,GRE
1904,St Louis,USA,USA,Y,NA,NA,NA,NA,GRE,FRA,GRE,GBR
1906,Athens,Greece,GRE,Y,NA,NA,NA,NA,FRA,USA,GBR,SWE
1908,London,Great Britain,GBR,Y,NA,NA,NA,NA,USA,GRE,SWE,GER
1912,Stockholm,Sweden,SWE,Y,NA,NA,NA,NA,GRE,GBR,GER,BEL
1916,Berlin,Germany,GER,N,NA,NA,NA,NA,GBR,SWE,BEL,FRA
1920,Antwerp,Belgium,BEL,Y,NA,NA,NA,NA,SWE,GER,FRA,NED
1924,Paris,France,FRA,Y,NA,NA,NA,NA,GER,BEL,NED,USA
1928,Amsterdam,Holland,NED,Y,NA,NA,NA,NA,BEL,FRA,USA,GER
1932,Los Angeles,USA,USA,Y,NA,NA,NA,NA,FRA,NED,GER,JPN
1936,Berlin,Germany,GER,Y,NA,NA,NA,NA,NED,USA,JPN,GBR
1940,Tokyo/Helsinki,Japan/Finland,JPN,N,NA,NA,NA,NA,USA,GER,GBR,GBR
1944,London,Great Britain,GBR,N,NA,NA,NA,NA,GER,JPN,GBR,FIN
1948,London,Great Britain,GBR,Y,NA,NA,NA,NA,JPN,GBR,FIN,AUS
1952,Helsinki,Finland,FIN,Y,NA,NA,NA,NA,GBR,GBR,AUS,ITA
1956,Melbourne,Australia,AUS,Y,NA,NA,NA,NA,GBR,FIN,ITA,JPN
1960,Rome,Italy,ITA,Y,NA,NA,NA,NA,FIN,AUS,JPN,MEX
1964,Tokyo,Japan,JPN,Y,NA,NA,NA,NA,AUS,ITA,MEX,FRG
1968,Mexico City,Mexico,MEX,Y,NA,NA,NA,NA,ITA,JPN,FRG,CAN
1972,Munich,Germany,FRG,Y,NA,NA,NA,NA,JPN,MEX,CAN,URS
1976,Montreal,Canada,CAN,Y,198,199,216,613,MEX,FRG,URS,USA
1980,Moscow,USSR,URS,Y,204,204,223,631,FRG,CAN,USA,KOR
1984,Los Angeles,USA,USA,Y,226,219,243,688,CAN,URS,KOR,ESP
1988,Seoul,South Korea,KOR,Y,241,234,264,739,URS,USA,ESP,USA
1992,Barcelona,Spain,ESP,Y,260,257,298,815,USA,KOR,USA,AUS
1996,Atlanta,USA,USA,Y,271,273,298,842,KOR,ESP,AUS,GRE
2000,Sydney,Australia,AUS,Y,300,300,327,927,ESP,USA,GRE,CHN
2004,Athens,Greece,GRE,Y,301,300,326,927,USA,AUS,CHN,GBR
2008,Beijing,China,CHN,Y,301,303,353,957,AUS,GRE,GBR,BRA
2012,London,England,GBR,Y,301,303,353,957,GRE,CHN,BRA,JPN
2016,Rio,Brazil,BRA,Y,307,307,359,973,CHN,GBR,JPN,FRA
2020,Tokyo,Japan,JPN,Y,339,339,395,1073,GBR,BRA,FRA,USA
2024,Paris,France,FRA,Y,NA,NA,NA,NA,BRA,JPN,USA,NA
2028,Los Angeles,United States,USA,Y,NA,NA,NA,NA,JPN,FRA,NA,NA
