Year,CountryCode,HostCity,HostCountry,HostCountryCode,Awarded.Gold,Awarded.Silver,Awarded.Bronze,Awarded.Total,Population,GDPpC,pre_host2,pre_host,Host,post_host,post_host2,gold_pre1,med_pre1,gold_pre2,med_pre2,gold_pre3,med_pre3,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1992,AHO,Barcelona,Spain,ESP,260,257,298,815,NA,NA,N,N,N,N,N,0,1,0,0,NA,NA,4,0,0,0,0
1992,ALB,Barcelona,Spain,ESP,260,257,298,815,3.275430918,2776.01116941035,N,N,N,N,N,NA,NA,NA,NA,NA,NA,9,0,0,0,0
1992,ALG,Barcelona,Spain,ESP,260,257,298,815,26.55432892,8286.47788701112,N,N,N,N,N,0,0,0,2,0,0,27,1,0,1,2
1992,AND,Barcelona,Spain,ESP,260,257,298,815,0.056671,19533.8003564433,N,N,N,N,N,0,0,0,0,0,0,7,0,0,0,0
1992,ANG,Barcelona,Spain,ESP,260,257,298,815,12.55344582,2424.24520696263,N,N,N,N,N,0,0,NA,NA,0,0,21,0,0,0,0
1992,ANT,Barcelona,Spain,ESP,260,257,298,815,0.067307003,11796.9398013458,N,N,N,N,N,0,0,0,0,NA,NA,17,0,0,0,0
1992,ARG,Barcelona,Spain,ESP,260,257,298,815,33.19391632,6406.54716815892,N,N,N,N,N,0,2,0,0,NA,NA,81,0,0,1,1
1992,ARU,Barcelona,Spain,ESP,260,257,298,815,0.064622,33607.6899972146,N,N,N,N,N,0,0,NA,NA,NA,NA,5,0,0,0,0
1992,ASA,Barcelona,Spain,ESP,260,257,298,815,0.048685,NA,N,N,N,N,N,0,0,NA,NA,NA,NA,3,0,0,0,0
1992,AUS,Barcelona,Spain,ESP,260,257,298,815,17.27187347,26397.2051608597,N,N,N,N,Y,3,14,4,24,2,9,238,7,9,11,27
1992,AUT,Barcelona,Spain,ESP,260,257,298,815,7.772700787,26199.1161348432,N,N,N,N,N,1,1,1,3,1,4,87,0,2,0,2
1992,BAH,Barcelona,Spain,ESP,260,257,298,815,0.261115998,23511.9683245145,N,N,N,N,N,0,0,0,0,NA,NA,16,0,0,1,1
1992,BAN,Barcelona,Spain,ESP,260,257,298,815,108.7274323,1369.41047213528,N,N,N,N,N,0,0,0,0,NA,NA,6,0,0,0,0
1992,BAR,Barcelona,Spain,ESP,260,257,298,815,0.261274993,17256.2737873655,N,N,N,N,N,0,0,0,0,NA,NA,17,0,0,0,0
1992,BEL,Barcelona,Spain,ESP,260,257,298,815,10.03944492,25668.3887459388,N,N,N,N,N,0,2,1,4,1,1,85,0,1,2,3
1992,BEN,Barcelona,Spain,ESP,260,257,298,815,5.14949894,1224.27538260645,N,N,N,N,N,0,0,0,0,0,0,7,0,0,0,0
1992,BER,Barcelona,Spain,ESP,260,257,298,815,0.061312001,29202.5404129283,N,N,N,N,N,0,0,0,0,NA,NA,23,0,0,0,0
1992,BHU,Barcelona,Spain,ESP,260,257,298,815,0.537284017,2489.86655227453,N,N,N,N,N,0,0,0,0,NA,NA,8,0,0,0,0
1992,BIH,Barcelona,Spain,ESP,260,257,298,815,4.371603012,1256.55110103122,N,N,N,N,N,NA,NA,NA,NA,NA,NA,13,0,0,0,0
1992,BIZ,Barcelona,Spain,ESP,260,257,298,815,0.191126004,5671.38790282038,N,N,N,N,N,0,0,0,0,NA,NA,12,0,0,0,0
1992,BOL,Barcelona,Spain,ESP,260,257,298,815,6.992520809,2266.40746633207,N,N,N,N,N,0,0,0,0,NA,NA,18,0,0,0,0
1992,BOT,Barcelona,Spain,ESP,260,257,298,815,1.416731,6416.09443359396,N,N,N,N,N,0,0,0,0,0,0,6,0,0,0,0
1992,BRA,Barcelona,Spain,ESP,260,257,298,815,151.9765778,6272.55002908744,N,N,N,N,N,1,6,1,8,2,4,140,2,1,0,3
1992,BRN,Barcelona,Spain,ESP,260,257,298,815,0.509765029,15281.7784034377,N,N,N,N,N,0,0,0,0,NA,NA,12,0,0,0,0
1992,BUL,Barcelona,Spain,ESP,260,257,298,815,8.766889572,10524.7231851411,N,N,N,N,N,10,35,NA,NA,8,41,202,3,7,6,16
1992,BUR,Barcelona,Spain,ESP,260,257,298,815,9.050084114,955.72057165965,N,N,N,N,N,0,0,NA,NA,NA,NA,4,0,0,0,0
1992,CAF,Barcelona,Spain,ESP,260,257,298,815,3.014624119,1009.05875522852,N,N,N,N,N,0,0,0,0,NA,NA,18,0,0,0,0
1992,CAN,Barcelona,Spain,ESP,260,257,298,815,28.04460526,29254.0242550734,N,N,N,N,N,3,10,10,44,NA,NA,320,7,4,7,18
1992,CAY,Barcelona,Spain,ESP,260,257,298,815,0.026213,57814.577881204,N,N,N,N,N,0,0,0,0,NA,NA,9,0,0,0,0
1992,CGO,Barcelona,Spain,ESP,260,257,298,815,2.507771969,2450.73392316875,N,N,N,N,N,0,0,0,0,0,0,7,0,0,0,0
1992,CHA,Barcelona,Spain,ESP,260,257,298,815,6.150081158,1131.83441911906,N,N,N,N,N,0,0,0,0,NA,NA,7,0,0,0,0
1992,CHI,Barcelona,Spain,ESP,260,257,298,815,13.45724392,8017.12671193077,N,N,N,N,N,0,1,0,0,NA,NA,14,0,0,0,0
1992,CHN,Barcelona,Spain,ESP,260,257,298,815,1189.183472,2654.89499672427,N,N,N,N,N,5,28,15,32,NA,NA,277,16,22,16,54
1992,CIV,Barcelona,Spain,ESP,260,257,298,815,12.71000767,2256.87299290198,N,N,N,N,N,0,0,0,1,NA,NA,11,0,0,0,0
1992,CMR,Barcelona,Spain,ESP,260,257,298,815,12.06072903,2276.08870008748,N,N,N,N,N,0,0,0,1,0,0,9,0,0,0,0
1992,COD,Barcelona,Spain,ESP,260,257,298,815,35.91482544,1052.1409074681,N,N,N,N,N,0,0,0,0,NA,NA,16,0,0,0,0
1992,COK,Barcelona,Spain,ESP,260,257,298,815,0.018622,NA,N,N,N,N,N,0,0,NA,NA,NA,NA,2,0,0,0,0
1992,COL,Barcelona,Spain,ESP,260,257,298,815,34.91676712,6805.60348222754,N,N,N,N,N,0,1,0,1,0,0,38,0,0,1,1
1992,CRC,Barcelona,Spain,ESP,260,257,298,815,3.175648928,7346.58101035531,N,N,N,N,N,0,1,0,0,0,0,20,0,0,0,0
1992,CRO,Barcelona,Spain,ESP,260,257,298,815,4.76000309,9676.68588005055,N,N,N,N,N,NA,NA,NA,NA,NA,NA,27,0,1,2,3
1992,CUB,Barcelona,Spain,ESP,260,257,298,815,10.67,2279.28772258669,N,N,N,N,N,NA,NA,NA,NA,8,20,108,14,6,11,31
1992,CYP,Barcelona,Spain,ESP,260,257,298,815,0.594900012,20136.8119152097,N,N,N,N,N,0,0,0,0,0,0,18,0,0,0,0
