Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1980,AFG,AFG,11,0,0,0,0
1988,AFG,AFG,5,0,0,0,0
1996,AFG,AFG,2,0,0,0,0
2004,AFG,AFG,5,0,0,0,0
2008,AFG,AFG,4,0,0,1,1
2012,AFG,AFG,6,0,0,1,1
2016,AFG,AFG,3,0,0,0,0
1976,AHO,ANT,4,0,0,0,0
1984,AHO,ANT,12,0,0,0,0
1988,AHO,ANT,4,0,1,0,1
1992,AHO,ANT,4,0,0,0,0
1996,AHO,ANT,7,0,0,0,0
2000,AHO,ANT,8,0,0,0,0
2004,AHO,ANT,3,0,0,0,0
2008,AHO,ANT,4,0,0,0,0
1992,ALB,ALB,9,0,0,0,0
1996,ALB,ALB,9,0,0,0,0
2000,ALB,ALB,5,0,0,0,0
2004,ALB,ALB,7,0,0,0,0
2008,ALB,ALB,12,0,0,0,0
2012,ALB,ALB,10,0,0,0,0
2016,ALB,ALB,6,0,0,0,0
1980,ALG,DZA,34,0,0,0,0
1984,ALG,DZA,19,0,0,2,2
1988,ALG,DZA,32,0,0,0,0
1992,ALG,DZA,27,1,0,1,2
1996,ALG,DZA,32,2,0,1,3
2000,ALG,DZA,47,1,1,3,5
2004,ALG,DZA,67,0,0,0,0
2008,ALG,DZA,47,0,1,1,2
2012,ALG,DZA,29,1,0,0,1
2016,ALG,DZA,57,0,2,0,2
1976,AND,AND,3,0,0,0,0
1980,AND,AND,2,0,0,0,0
1984,AND,AND,2,0,0,0,0
1988,AND,AND,4,0,0,0,0
1992,AND,AND,7,0,0,0,0
1996,AND,AND,7,0,0,0,0
2000,AND,AND,5,0,0,0,0
2004,AND,AND,6,0,0,0,0
2008,AND,AND,5,0,0,0,0
2012,AND,AND,6,0,0,0,0
2016,AND,AND,4,0,0,0,0
1980,ANG,AGO,14,0,0,0,0
1988,ANG,AGO,33,0,0,0,0
1992,ANG,AGO,21,0,0,0,0
1996,ANG,AGO,8,0,0,0,0
2000,ANG,AGO,7,0,0,0,0
2004,ANG,AGO,5,0,0,0,0
2008,ANG,AGO,8,0,0,0,0
2012,ANG,AGO,10,0,0,0,0
2016,ANG,AGO,10,0,0,0,0
1976,ANT,ATG,11,0,0,0,0
1984,ANT,ATG,18,0,0,0,0
1988,ANT,ATG,19,0,0,0,0
1992,ANT,ATG,17,0,0,0,0
1996,ANT,ATG,9,0,0,0,0
2000,ANT,ATG,4,0,0,0,0
2004,ANT,ATG,5,0,0,0,0
2008,ANT,ATG,5,0,0,0,0
2012,ANT,ATG,4,0,0,0,0
2016,ANT,ATG,6,0,0,0,0
1976,ARG,ARG,64,0,0,0,0
1984,ARG,ARG,83,0,0,0,0
1988,ARG,ARG,60,0,1,1,2
1992,ARG,ARG,81,0,0,1,1
1996,ARG,ARG,117,0,2,1,3
2000,ARG,ARG,104,0,2,2,4
2004,ARG,ARG,98,2,0,4,6
2008,ARG,ARG,80,2,0,4,6
2012,ARG,ARG,71,1,1,2,4
2016,ARG,ARG,98,3,1,0,4
1996,ARM,ARM,38,1,1,0,2
2000,ARM,ARM,26,0,0,1,1
2004,ARM,ARM,19,0,0,0,0
2008,ARM,ARM,26,0,0,6,6
2012,ARM,ARM,31,0,1,2,3
2016,ARM,ARM,34,1,3,0,4
1988,ARU,ABW,11,0,0,0,0
1992,ARU,ABW,5,0,0,0,0
1996,ARU,ABW,3,0,0,0,0
2000,ARU,ABW,5,0,0,0,0
2004,ARU,ABW,4,0,0,0,0
2008,ARU,ABW,2,0,0,0,0
2012,ARU,ABW,4,0,0,0,0
2016,ARU,ABW,6,0,0,0,0
1988,ASA,ASM,6,0,0,0,0
1992,ASA,ASM,3,0,0,0,0
1996,ASA,ASM,6,0,0,0,0
2000,ASA,ASM,4,0,0,0,0
2004,ASA,ASM,3,0,0,0,0
2008,ASA,ASM,4,0,0,0,0
2012,ASA,ASM,4,0,0,0,0
2016,ASA,ASM,4,0,0,0,0
1976,AUS,AUS,185,0,1,4,5
1980,AUS,AUS,132,2,2,5,9
1984,AUS,AUS,205,4,8,12,24
1988,AUS,AUS,205,3,6,5,14
1992,AUS,AUS,238,7,9,11,27
1996,AUS,AUS,332,9,9,23,41
2000,AUS,AUS,442,16,25,17,58
2004,AUS,AUS,327,17,16,17,50
2008,AUS,AUS,330,14,15,17,46
2012,AUS,AUS,298,8,16,12,36
2016,AUS,AUS,300,8,12,10,30
1976,AUT,AUT,57,0,0,1,1
1980,AUT,AUT,65,1,2,1,4
1984,AUT,AUT,95,1,1,1,3
