OlympicYear,ISOCode,Country,Population,GDPpC
1992,ABW,Aruba,0.064622,33607.6899972146
1996,ABW,Aruba,0.080324002,43330.8930747748
2000,ABW,Aruba,0.089005001,42399.0889792811
2004,ABW,Aruba,0.097016998,40485.2037371843
2008,ABW,Aruba,0.101219997,44776.6606533292
2012,ABW,Aruba,0.102053002,37363.8448087985
2016,ABW,Aruba,0.104341,37996.1767857314
1992,AGO,Angola,12.55344582,2424.24520696263
1996,AGO,Angola,14.26899433,2342.6110037567
2000,AGO,Angola,15.94976616,2853.66154734898
2004,AGO,Angola,18.20336914,2434.22271719091
2008,AGO,Angola,20.99768639,4353.81411751812
2012,AGO,Angola,24.21856499,6828.91926372554
2016,AGO,Angola,27.85930443,5297.58773306172
1992,AIA,Anguilla,0.008666,17356.7739556889
1996,AIA,Anguilla,0.009802,20537.2263721689
2000,AIA,Anguilla,0.010793,25390.766376355
2004,AIA,Anguilla,0.012021,22238.3249563264
2008,AIA,Anguilla,0.01315,39179.5204106464
2012,AIA,Anguilla,0.013951,27013.4028528421
2016,AIA,Anguilla,0.014611,26765.3425775101
1992,ALB,Albania,3.275430918,2776.01116941035
1996,ALB,Albania,3.106735945,3619.52241486684
2000,ALB,Albania,3.115576029,4438.97461055989
2004,ALB,Albania,3.111005068,5168.05010875026
2008,ALB,Albania,3.023906946,7014.49355379734
2012,ALB,Albania,2.926659107,9598.56061568977
2016,ALB,Albania,2.923352003,10775.7487321653
1992,ARE,United Arab Emirates,1.970026016,98959.4561273043
1996,ARE,United Arab Emirates,2.448820114,77653.1811433823
2000,ARE,United Arab Emirates,2.988162041,76664.1406512666
2004,ARE,United Arab Emirates,3.741931915,85572.6336217959
2008,ARE,United Arab Emirates,6.044066906,84271.2844218141
2012,ARE,United Arab Emirates,8.672474861,63990.0889186331
2016,ARE,United Arab Emirates,9.154301643,65098.4597995729
1992,ARG,Argentina,33.19391632,6406.54716815892
1996,ARG,Argentina,34.99481583,10912.5699319333
2000,ARG,Argentina,36.64806747,13165.2448439459
2004,ARG,Argentina,38.30937958,11338.5678588951
2008,ARG,Argentina,39.97022247,14940.0219237759
2012,ARG,Argentina,41.65687943,17235.4349947523
2016,ARG,Argentina,43.41776657,16673.5531256047
1992,ARM,Armenia,3.505250931,5590.20249497796
1996,ARM,Armenia,3.2173419,2712.20895609509
2000,ARM,Armenia,3.089016914,2872.62616782162
2004,ARM,Armenia,3.017806053,4212.02618947759
2008,ARM,Armenia,2.933056116,7140.72810804688
2012,ARM,Armenia,2.875581026,8561.04770041698
2016,ARM,Armenia,2.916949987,9167.68870538746
1992,ATG,Antigua and Barbuda,0.067307003,11796.9398013458
1996,ATG,Antigua and Barbuda,0.073619001,12133.9959992122
2000,ATG,Antigua and Barbuda,0.081831001,13606.2414047703
2004,ATG,Antigua and Barbuda,0.087292999,14681.3503566305
2008,ATG,Antigua and Barbuda,0.091380998,20419.1773545743
2012,ATG,Antigua and Barbuda,0.095719002,18365.1994198602
2016,ATG,Antigua and Barbuda,0.099923,17053.481520771
1992,AUS,Australia,17.27187347,26397.2051608597
1996,AUS,Australia,18.07674217,30113.6120037939
2000,AUS,Australia,18.86411285,35212.277422312
2004,AUS,Australia,19.69697189,38239.2946848034
2008,AUS,Australia,20.94666481,41337.7712086471
2012,AUS,Australia,22.47979927,44117.6954290482
2016,AUS,Australia,23.79955673,45658.8335794605
1992,AUT,Austria,7.772700787,26199.1161348432
1996,AUT,Austria,7.990120888,30071.4337076999
2000,AUT,Austria,8.051113129,34937.9988571764
2004,AUT,Austria,8.175851822,36019.1558887575
2008,AUT,Austria,8.311782837,41867.2963219046
2012,AUT,Austria,8.459863663,44873.894713024
2016,AUT,Austria,8.678656578,48630.7841780348
1992,AZE,Azerbaijan,7.357955933,8522.66938685402
1996,AZE,Azerbaijan,7.775425911,2289.27496625207
2000,AZE,Azerbaijan,8.054124832,2207.45075980963
2004,AZE,Azerbaijan,8.361358643,3038.5812945926
2008,AZE,Azerbaijan,8.724304199,9083.12049218585
2012,AZE,Azerbaijan,9.146379471,17005.4344227853
2016,AZE,Azerbaijan,9.617484093,14668.3453526768
1992,BDI,Burundi,5.542047977,862.270262515268
1996,BDI,Burundi,5.962058067,693.697085557084
2000,BDI,Burundi,6.278940201,685.369956591501
2004,BDI,Burundi,6.953113079,617.821916052863
2008,BDI,Burundi,7.939572811,616.256023651699
2012,BDI,Burundi,9.043507576,693.526116751937
2016,BDI,Burundi,10.19927025,734.563123572493
1992,BEL,Belgium,10.03944492,25668.3887459388
1996,BEL,Belgium,10.18630505,28083.8002490412
2000,BEL,Belgium,10.25516033,32356.7009800226
2004,BEL,Belgium,10.4190321,34559.1962424226
2008,BEL,Belgium,10.69783497,38936.9468185019
2012,BEL,Belgium,11.01308346,42336.6899645742
2016,BEL,Belgium,11.28794003,44425.2338041523
1992,BEN,Benin,5.14949894,1224.27538260645
1996,BEN,Benin,5.905558109,1150.76394043827
2000,BEN,Benin,6.664097786,1368.23674708905
2004,BEN,Benin,7.520555019,1701.38368480434
2008,BEN,Benin,8.454791069,1806.07783390277
2012,BEN,Benin,9.460802078,1769.17891548772
2016,BEN,Benin,10.57595158,1984.54733848167
1992,BFA,Burkina Faso,9.050084114,955.72057165965
1996,BFA,Burkina Faso,10.08987808,879.415803803251
2000,BFA,Burkina Faso,11.28270054,1079.04555357453
2004,BFA,Burkina Faso,12.65462112,1173.83332769429
2008,BFA,Burkina Faso,14.25202084,1235.06484572331
2012,BFA,Burkina Faso,16.08190346,1388.20255360493
2016,BFA,Burkina Faso,18.11062431,1528.42820800582
1992,BGD,Bangladesh,108.7274323,1369.41047213528
1996,BGD,Bangladesh,118.706871,1450.09100273564
2000,BGD,Bangladesh,129.0296936,1366.98609427683
2004,BGD,Bangladesh,139.0189972,1411.86740339974
2008,BGD,Bangladesh,147.1391907,1752.89443670972
2012,BGD,Bangladesh,153.911911,2570.66991260995
2016,BGD,Bangladesh,161.200882,3069.36789899202
1992,BGR,Bulgaria,8.766889572,10524.7231851411
1996,BGR,Bulgaria,8.379179955,8125.19379051813
2000,BGR,Bulgaria,8.066883087,7820.62195393263
2004,BGR,Bulgaria,7.803881168,9533.77175770957
2008,BGR,Bulgaria,7.566948891,13094.7614497374
2012,BGR,Bulgaria,7.356213093,15924.3470953106
2016,BGR,Bulgaria,7.177395821,17796.5379206582
1992,BHR,Bahrain,0.509765029,15281.7784034377
1996,BHR,Bahrain,0.563699007,16560.2735681243
2000,BHR,Bahrain,0.636545002,18688.3957027755
2004,BHR,Bahrain,0.778711021,27430.4535366272
2008,BHR,Bahrain,1.035891056,41015.7604256794
2012,BHR,Bahrain,1.278269053,42522.9610561494
2016,BHR,Bahrain,1.371855021,39770.7357955575
1992,BHS,Bahamas,0.261115998,23511.9683245145
1996,BHS,Bahamas,0.280149996,23629.5378744178
2000,BHS,Bahamas,0.293572009,33859.3627057953
2004,BHS,Bahamas,0.315746009,34853.8525470325
2008,BHS,Bahamas,0.342328012,35920.2615297518
2012,BHS,Bahamas,0.366567999,30619.425565296
2016,BHS,Bahamas,0.386837989,29235.4755778652
1992,BIH,Bosnia and Herzegovina,4.371603012,1256.55110103122
1996,BIH,Bosnia and Herzegovina,3.843712091,1811.57820725028
2000,BIH,Bosnia and Herzegovina,3.75911808,5095.8345394673
2004,BIH,Bosnia and Herzegovina,3.779247046,5865.92591862014
2008,BIH,Bosnia and Herzegovina,3.773999929,8272.62618371925
2012,BIH,Bosnia and Herzegovina,3.688864946,9553.14711865843
2016,BIH,Bosnia and Herzegovina,3.535960913,10916.886396589
1992,BLR,Belarus,10.22649288,13404.4518397983
1996,BLR,Belarus,10.14230824,7620.79974015856
2000,BLR,Belarus,9.986932755,8003.23771480125
2004,BLR,Belarus,9.740054131,9111.56624453877
2008,BLR,Belarus,9.536864281,13203.9780780854
2012,BLR,Belarus,9.468500137,18569.4355553665
2016,BLR,Belarus,9.485772133,17014.5034939772
1992,BLZ,Belize,0.191126004,5671.38790282038
