Year,IOC CountryCode,Country,Population,GDP,GDPpC,EmpRate
1992,AND,Andorra,0.056671,1107,,NA
1992,AHO,Netherlands Antilles,NA,,NA,NA
1992,ASA,American Samoa,0.048685,,NA,NA
1992,COK,Cook Islands,0.018622,,NA,NA
1992,TCH,Czechoslovakia,15.6,29680,,NA
1992,CUB,Cuba,10.67,24320,NA,NA
1992,GUM,Guam,0.133558,NA ,NA,NA
1992,GUY,Guyana,0.744474,348.5,NA,NA
1992,LBA,Libya,4.544,32000,NA,NA
1992,LIE,Liechtenstein,0.0292,1484,NA,NA
1992,MON,Monaco,0.029622,2480,NA,NA
1992,IOA,,NA,,NA,NA
1992,EUN,Commonwealth of Independent States,NA,,NA,NA
1992,LIB,Lebanon,2.922,4690,NA,NA
1992,PNG,Papua New Guinea,4.726,3787,NA,NA
1992,PUR,Puerto Rico,3.435253,32290,NA,NA
1992,PRK,North Korea,20.61,22900,NA,NA
1992,SOL,Solomon Islands,0.32078,320.4,NA,NA
1992,SMR,San Marino,0.02446,,NA,NA
1992,TGA,Tonga,0.095246,132.2,NA,NA
1992,ISV,Virgin Islands,0.104807,,NA,NA
1992,VAN,Vanuatu,0.150716,188.9,NA,NA
1992,SAM,Samoa,0.163997,125.6,NA,NA
1996,AFG,Afghanistan,18.11,,NA,NA
1996,AND,Andorra,0.06385,1179,,NA
1996,AHO,Netherlands Antilles,NA,,NA,NA
1996,ASA,American Samoa,0.053161,,NA,NA
1996,COK,Cook Islands,0.019097,,NA,NA
1996,CUB,Cuba,10.89,30430,NA,NA
1996,GUM,Guam,0.145561,,NA,NA
1996,GUY,Guyana,0.761291,621.6,NA,NA
1996,LBA,Libya,4.949,25540,NA,NA
1996,LIE,Liechtenstein ,0.0308,2428,NA,NA
1996,MON,Monaco,0.030716,3130,NA,NA
1996,LIB,Lebanon,3.528,11720,NA,NA
1996,NRU,Nauru,0.010628,,NA,NA
1996,PNG,Papua New Guinea,5.187,4636,NA,NA
1996,PUR,Puerto Rico,3.567696,42650,NA,NA
1996,PRK,North Korea,21.86,4850,NA,NA
1996,SCG,Serbia and Montenegro ,11.101833,,NA,NA
1996,SOL,Solomon Islands,0.359281,,NA,NA
1996,SMR,San Marino,0.025928,,NA,NA
1996,SOM,Somalia,7.492,,NA,NA
1996,TGA,Tonga,0.095976,202.5,NA,NA
1996,ISV,Virgin Islands,0.107818,,NA,NA
1996,VAN,Vanuatu,0.168158,233.9,NA,NA
1996,SAM,Samoa,0.171165,224.9,NA,NA
2000,AND,Andorra,0.06437,1240,,NA
2000,AHO,Netherlands Antilles,NA,,NA,NA
2000,ASA,American Samoa,0.057053,,NA,NA
2000,COK,Cook Islands,0.018041,,NA,NA
2000,CUB,Cuba,11.08,28360,NA,NA
2000,ERI,Eritrea,2.237,790,NA,NA
2000,FSM,Federated States of Micronesia,NA,,NA,NA
2000,GUM,Guam ,0.153953,,NA,NA
2000,GUY,Guyana,0.749674,694.8,NA,NA
2000,LBA,Libya ,5.276,35980,NA,NA
2000,LIE,Liechtenstein ,0.0322,2664,NA,NA
2000,MON,Monaco,0.031844,3589,NA,NA
2000,IOA,,NA,,NA,NA
2000,LIB,Lebanon,3.748,17390,NA,NA
2000,NRU,Nauru,0.010449,,NA,NA
2000,PLW,Palau,0.018776,,NA,NA
2000,PNG,Papua New Guinea,5.716,3477,NA,NA
2000,PUR,Puerto Rico,3.659723,57840,NA,NA
2000,PRK,North Korea,22.73,10280,NA,NA
2000,SOL,Solomon Islands,0.401586,519.3,NA,NA
2000,SMR,Sam Marino,0.027145,1216,NA,NA
2000,SOM,Somalia,8.554,,NA,NA
2000,TGA,Tonga,0.097482,196.7,NA,NA
2000,ISV,Virgin Islands,0.108599,3453,NA,NA
2000,VAN,Vanuatu,0.181265,268,NA,NA
2000,SAM,Samoa,0.173609,258.8,NA,NA
2004,AFG,Afghanistan ,23.68,4516,NA,NA
2004,AND,Andorra,0.073182,2399,,NA
2004,AHO,Netherlands Antilles ,NA,,NA,NA
2004,ASA,American Samoa ,0.059504,527,NA,NA
2004,COK,Cook Islands ,0.018608,,NA,NA
2004,CUB,Cuba,11.23,35900,NA,NA
2004,ERI,Iritrea,2.601,870,NA,NA
